school_name,school_type,Starting Median Salary,region,priv_pub,% Admitted (total),Tuition and Fees,Total Enrollment,Longitude,Latitude,logo
Amherst College,Liberal Arts,54500,Northeastern,Private,14,46574,1785,-72.518493,42.372459,https://cdn.thetrustedinsight.com/avatars/firms/firm6857_1523981784.jpg
Arizona State University (ASU),Party,47400,Western,Public,80,9861,48702,-112.073221,33.45343,https://brand.iu.edu/images/design/logos-lockups/logos-seal.jpg
Auburn University,State,45400,Southern,Public,83,9852,24864,-85.492409,32.600201,https://cdn.shopify.com/s/files/1/0849/8378/products/AU16-1_600x.jpg?v=1552921651
Bates College,Liberal Arts,47300,Northeastern,Private,24,45650,1791,-70.203333,44.105299,https://s3.amazonaws.com/images.hamlethub.com/hhresized/500/2745/201501/bates_college_seal_2014.png
Bowdoin College,Liberal Arts,48100,Northeastern,Private,15,45446,1795,-69.965165,43.906969,https://upload.wikimedia.org/wikipedia/en/thumb/e/e8/Formal_Seal_of_Bowdoin_College%2C_Brunswick%2C_ME%2C_USA.svg/1200px-Formal_Seal_of_Bowdoin_College%2C_Brunswick%2C_ME%2C_USA.svg.png
Brown University,Ivy League,56200,Northeastern,Private,9,45612,8943,-71.404467,41.827605,https://fastly.4sqi.net/img/general/600x600/459463121_dQPi4sMzEJD1xcOfZVcVdXB8uNH1P4APBOZwEXtasbI.jpg
Bucknell University,Liberal Arts,54100,Northeastern,Private,30,46902,3608,-76.886275,40.954489,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Bucknell_University_seal.svg/1200px-Bucknell_University_seal.svg.png
Cal Poly San Luis Obispo,State,57200,California,Private,11,41538,2181,-120.65856,35.29889,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/CalPoly_Seal.svg/1200px-CalPoly_Seal.svg.png
California Institute of Technology (CIT),Engineering,75500,California,Private,31,8724,19703,-118.12574,34.139275,https://banner2.kisspng.com/20180429/buq/kisspng-california-institute-of-technology-university-ligo-5ae5c24163d157.6779169015250069134089.jpg
"California State University, Fullerton (CSUF)",State,45700,California,Public,46,6186,38325,-117.885349,33.883627,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/California_State_University%2C_Fullerton_seal.svg/2000px-California_State_University%2C_Fullerton_seal.svg.png
